match_quality,venue,closest_park_name,distance_to_closest_park,city,state,team,conference,capacity,opened,latitude,longitude,elevation
Good,Varsity Field,Varsity Field - SUNY Albany ,75.85257132067642,Albany,NY,Albany,America East,500,c.1980,42.6785701,-73.8237445,61.78708267
Good,Binghamton Baseball Stadium Complex,Binghamton Baseball Stadium Complex - SNY Binghamton ,118.42983021225177,Vestal,NY,Binghamton,America East,1906,2022,42.0937917,-75.9746098,271.1980591
Good,Conaty Park,Conaty Park - Bryant ,59.892860671000385,Smithfield,RI,Bryant,America East,500,2012,41.925608,-71.5385642,124.194191
Good,Mahaney Diamond,Mahaney Diamond - Maine ,39.18357701969988,Orono,ME,Maine,America East,4400,Early 1980s,44.9049299,-68.6697723,34.98371887
Good,Jim Hynes Stadium,Jim Hynes Stadium - NJIT ,71.37272462941554,Union Township,NJ,NJIT,America East,700,2000,40.6807905,-74.2401254,19.70412064
Good,Edward A. LeLacheur Park,UMass Lowell ,71.3052379969055,Lowell,MA,UMass Lowell,America East,4767,1998,42.6536112,-71.3178303,23.75288773
Good,The Baseball Factory Field at UMBC,The Baseball Factory Field - UMBC ,57.61582414500408,Catonsville,MD,UMBC,America East,1000,N/A(Renovated 2004),39.2495837,-76.7085788,42.05427551
Good,Robert and Mariam Hayes Stadium,Robert and Mariam Hayes Stadium- Charlotte ,68.665279571048,Charlotte,NC,Charlotte,The American,4100,1994,35.3081149,-80.7390641,185.0974426
Good,Clark–LeClair Stadium,East Carolina University - Clark-LeClair Stadium,48.225695336497765,Greenville,NC,East Carolina,The American,5000,2005,35.5929511,-77.3671406,18.56173515
Good,FAU Baseball Stadium,FAU Baseball Stadium- Florida Internations ,68.0238096181961,Boca Raton,FL,Florida Atlantic,The American,2000,1991,26.3702709,-80.1095751,3.560908318
Good,FedExPark,FedExPark- Memphis ,70.25429556539365,Memphis,TN,Memphis,The American,2000,1972,35.1021359,-89.9255848,90.57918549
Good,Reckling Park,Reckling Park- Rice ,71.60274727104839,Houston,TX,Rice,The American,6193,2000,29.7132708,-95.404089,14.29854393
Good,USF Baseball Stadium,USF Baseball Stadium - South Florida ,74.28848770232818,Tampa,FL,South Florida,The American,3211,2011,28.059087,-82.4041421,18.72600174
