image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
,Varsity Field,Albany,NY,Albany,America East,500,c.1980,[1],42.6785701,-73.8237445,61.78708267
,Binghamton Baseball Stadium Complex,Vestal,NY,Binghamton,America East,1906,2022,[2],42.0937917,-75.9746098,271.1980591
,Conaty Park,Smithfield,RI,Bryant,America East,500,2012,,41.925608,-71.5385642,124.194191
,Mahaney Diamond,Orono,ME,Maine,America East,4400,Early 1980s,[3],44.9049299,-68.6697723,34.98371887
,Jim Hynes Stadium,Union Township,NJ,NJIT,America East,700,2000,[4],40.6807905,-74.2401254,19.70412064
,Edward A. LeLacheur Park,Lowell,MA,UMass Lowell,America East,4767,1998,[5],42.6536112,-71.3178303,23.75288773
,The Baseball Factory Field at UMBC,Catonsville,MD,UMBC,America East,1000,N/A(Renovated 2004),[6],39.2495837,-76.7085788,42.05427551
,Robert and Mariam Hayes Stadium,Charlotte,NC,Charlotte,The American,4100,1994,,35.3081149,-80.7390641,185.0974426
,Clark–LeClair Stadium,Greenville,NC,East Carolina,The American,5000,2005,,35.5929511,-77.3671406,18.56173515
,FAU Baseball Stadium,Boca Raton,FL,Florida Atlantic,The American,2000,1991,,26.3702709,-80.1095751,3.560908318
,FedExPark,Memphis,TN,Memphis,The American,2000,1972,,35.1021359,-89.9255848,90.57918549
,Reckling Park,Houston,TX,Rice,The American,6193,2000,,29.7132708,-95.404089,14.29854393
,USF Baseball Stadium,Tampa,FL,South Florida,The American,3211,2011,,28.059087,-82.4041421,18.72600174
,Greer Field at Turchin Stadium,New Orleans,LA,Tulane,The American,5000,1991(destroyed in 2005 by Hurricane Katrina; rebuilt and reopened in 2007),,29.9462748,-90.1155605,1.18E-38
,Jerry D. Young Memorial Field,Birmingham,AL,UAB,The American,1000,1984,,33.4984935,-86.8105794,186.0037384
,Roadrunner Field,San Antonio,TX,UTSA,The American,800,1993,,29.5837677,-98.6226913,302.2505493
,Eck Stadium,Wichita,KS,Wichita State,The American,8153,1978(Renovated 2009),[7],37.721955,-97.2881177,426.8837891
