game_info,year,n_venue
ACC CHAMPIONSHIP,2019,"Durham Bulls Athletic ParkÿinÿDurham, North Carolina"
ACC Championship,2021,"Truist FieldÿinÿCharlotte, North Carolina."
ACC Championship,2022,"Truist FieldÿinÿCharlotte, North Carolina."
ACC CHAMPIONSHIP ,2018,"Durham Bulls Athletic ParkÿinÿDurham, North Carolina"
ACC TOURNAMENT,2019,"Durham Bulls Athletic ParkÿinÿDurham, North Carolina"
ACC Tournament,2021,"Truist FieldÿinÿCharlotte, North Carolina."
ACC Tournament,2022,"Truist FieldÿinÿCharlotte, North Carolina."
ACC TOURNAMENT,2018,"Durham Bulls Athletic ParkÿinÿDurham, North Carolina"
ACC TOURNAMENT ,2017,"Louisville Slugger FieldÿinÿLouisville, Kentucky.ÿ"
Alcorn State vs Ole Miss,2022,0
All American Classic,2022,Segra Stadium
AMERICA EAST CHAMPIONSHIP,2019,"Varsity FieldÿinÿVestal, New York,"
AMERICA EAST CHAMPIONSHIP ,2018,"Mahaney DiamondÿinÿOrono, Maine,ÿ"
America East Tournament,2022,"Mahaney Diamond in Orono, Maine,"
AMERICA EAST TOURNAMENT,2019,"Varsity FieldÿinÿVestal, New York,"
America East Tournament,2021,"ÿJoe Nathan FieldÿinÿStony Brook, New York"
AMERICA EAST TOURNAMENT ,2018,"Mahaney DiamondÿinÿOrono, Maine,ÿ"
AMERICA EAST TOURNAMENT ,2017,"ÿEdward A. LeLacheur ParkÿinÿLowell, Massachusetts,"
AMERICAN ATHLETIC CHAMPIONSHIP,2019,0
American Athletic Championship,2021,0
American Athletic Championship,2022,0
American Athletic Tournament,2021,"ÿBayCare Ballpark in Clearwater, Florida"
American Athletic Tournament,2022,"ÿBayCare Ballpark in Clearwater, Florida"
AMERICAN ATHLETIC TOURNAMENT,2019,"Spectrum Field in Clearwater, Florida"
AMERICAN ATHLETIC TOURNAMENT,2018,"Spectrum Field in Clearwater, Florida"
AMERICAN ATHLETIC TOURNAMENT ,2018,"Spectrum Field in Clearwater, Florida"
Arizona vs Grand Canyon,2021,0
ASUN Championship,2021,0
ASUN Championship,2022,"ÿSwanson Stadium, home field of the Florida Gulf Coast"
ASUN Tournament,2021,0
