game_info,year,date,away_team,home_team,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,venue,n_venue,team,latitude,longitude,elevation
ACC CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
ACC CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
ACC Championship,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
ACC Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
ACC TOURNAMENT,2018,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
ACC TOURNAMENT,2019,14,14,14,14,14,14,14,14,14,14,0,14,0,0,0
ACC TOURNAMENT ,2017,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
ACC Tournament,2021,14,14,14,14,14,14,14,14,14,14,0,14,0,0,0
ACC Tournament,2022,14,14,14,14,14,14,14,14,14,14,0,14,0,0,0
AMERICA EAST CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AMERICA EAST CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AMERICA EAST TOURNAMENT,2019,9,9,9,9,9,9,9,9,9,9,0,2,0,0,0
AMERICA EAST TOURNAMENT ,2017,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
AMERICA EAST TOURNAMENT ,2018,9,9,9,9,9,9,9,9,9,9,0,4,0,0,0
AMERICAN ATHLETIC CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
AMERICAN ATHLETIC TOURNAMENT,2018,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
AMERICAN ATHLETIC TOURNAMENT,2019,12,12,12,12,12,12,12,12,12,12,0,12,0,0,0
AMERICAN ATHLETIC TOURNAMENT ,2018,2,2,2,2,2,2,2,2,2,2,0,2,0,0,0
ASUN Championship,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
ASUN Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
ASUN Tournament,2021,14,14,14,14,14,14,14,14,14,14,0,14,0,0,0
ASUN Tournament,2022,13,13,13,13,13,13,13,13,13,13,0,13,0,0,0
ATLANTIC 10 CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
ATLANTIC 10 CHAMPIONSHIP ,2017,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
ATLANTIC 10 CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
ATLANTIC 10 TOURNAMENT,2019,11,11,11,11,11,11,11,11,11,11,0,10,0,0,0
ATLANTIC 10 TOURNAMENT ,2017,12,12,12,12,12,12,12,12,12,12,0,11,0,0,0
