game_info,year,n_venue
ACC CHAMPIONSHIP,2019,Durham Bulls Athletic Park  Durham North Carolina
ACC Championship,2021,Truist Field  Charlotte North Carolina
ACC Championship,2022,Truist Field  Charlotte North Carolina
ACC CHAMPIONSHIP ,2018,Durham Bulls Athletic Park  Durham North Carolina
ACC TOURNAMENT,2019,Durham Bulls Athletic Park  Durham North Carolina
ACC Tournament,2021,Truist Field  Charlotte North Carolina
ACC Tournament,2022,Truist Field  Charlotte North Carolina
ACC TOURNAMENT,2018,Durham Bulls Athletic Park  Durham North Carolina
ACC TOURNAMENT ,2017,Louisville Slugger Field  Louisville Kentucky
Alcorn State vs Ole Miss,2022,
All American Classic,2022,Segra Stadium
AMERICA EAST CHAMPIONSHIP,2019,Varsity Field  Vestal New York
AMERICA EAST CHAMPIONSHIP ,2018,Mahaney Diamond  Orono Maine
America East Tournament,2022,Mahaney Diamond  Orono Maine
AMERICA EAST TOURNAMENT,2019,Varsity Field  Vestal New York
America East Tournament,2021,Joe Nathan Field  Stony Brook New York
AMERICA EAST TOURNAMENT ,2018,Mahaney Diamond  Orono Maine
AMERICA EAST TOURNAMENT ,2017,Edward A LeLacheur Park  Lowell Massachusetts
AMERICAN ATHLETIC CHAMPIONSHIP,2019,
American Athletic Championship,2021,
American Athletic Championship,2022,
American Athletic Tournament,2021,BayCare Ballpark  Clearwater Florida
American Athletic Tournament,2022,BayCare Ballpark  Clearwater Florida
AMERICAN ATHLETIC TOURNAMENT,2019,Spectrum Field  Clearwater Florida
AMERICAN ATHLETIC TOURNAMENT,2018,Spectrum Field  Clearwater Florida
AMERICAN ATHLETIC TOURNAMENT ,2018,Spectrum Field  Clearwater Florida
Arizona vs Grand Canyon,2021,
ASUN Championship,2021,
ASUN Championship,2022,Swanson Stadium home field of  Florida Gulf Coast
ASUN Tournament,2021,
ASUN Tournament,2022,Swanson Stadium home field of  Florida Gulf Coast
ATLANTIC 10 CHAMPIONSHIP,2019,Houlihan Park has been  home for  Fordham
Atlantic 10 Championship,2021,The Diamond  Richmond Virginia
ATLANTIC 10 CHAMPIONSHIP ,2017,Billiken Sports Center  home field of Saint Louis
ATLANTIC 10 CHAMPIONSHIP ,2018,
Atlantic 10 Tournament,2022,WILSON FIELD Davidson College
ATLANTIC 10 TOURNAMENT,2019,Houlihan Park has been  home for  Fordham
Atlantic 10 Tournament,2021,The Diamond  Richmond Virginia
ATLANTIC 10 TOURNAMENT ,2017,Billiken Sports Center  home field of Saint Louis
ATLANTIC 10 TOURNAMENT ,2018,Tucker Field at Barcroft Park Arlington VA
ATLANTIC SUN CHAMPIONSHIP,2019,Melching Field at Conrad Park home field of  Stetson Hatters baseball team  DeLand Florida
ATLANTIC SUN TOURNAMENT,2019,Melching Field at Conrad Park home field of  Stetson Hatters baseball team  DeLand Florida
ATLANTIC SUN TOURNAMENT ,2018,Harmon Stadium    of  University of North Florida  Jacksonville Florida
ATLANTIC SUN TOURNAMENT ,2017,Melching Field at Conrad Park
ATLANTIC SUN TOURNAMENT ,2016,Ken Dugan Field at Stephen Lee Marsh Stadium    of Lipscomb University
Baylor vs Oklahoma State,2021,
Baylor vs TCU,2021,
BIG 12 CHAMPIONSHIP,2019,Chickasaw Bricktown Ballpark  Oklahoma City Oklahoma
Big 12 Championship,2021,Chickasaw Bricktown Ballpark  Oklahoma City Oklahoma
Big 12 Championship,2022,Globe Life Field  Arlington
BIG 12 CHAMPIONSHIP ,2018,Chickasaw Bricktown Ballpark  Oklahoma City Oklahoma
BIG 12 TOURNAMENT,2019,Chickasaw Bricktown Ballpark  Oklahoma City Oklahoma
Big 12 Tournament,2021,Chickasaw Bricktown Ballpark  Oklahoma City Oklahoma
Big 12 Tournament,2022,Globe Life Field  Arlington
BIG 12 TOURNAMENT ,2018,Chickasaw Bricktown Ballpark  Oklahoma City Oklahoma
BIG 12 TOURNAMENT ,2017,Chickasaw Bricktown Ballpark  Oklahoma City Oklahoma
Big East Championship,2021,Prasco Park  Mason Ohio
BIG EAST CHAMPIONSHIP,2019,Prasco Park  Mason Ohio
Big East Championship,2022,Prasco Park  Mason Ohio
BIG EAST CHAMPIONSHIP ,2016,Leidos Field at Ripken Stadium  Aberdeen Maryland
BIG EAST CHAMPIONSHIP ,2018,Prasco Park  Mason Ohio
BIG EAST TOURNAMENT,2019,Prasco Park  Mason Ohio
Big East Tournament,2021,Prasco Park  Mason Ohio
Big East Tournament,2022,Prasco Park  Mason Ohio
BIG EAST TOURNAMENT ,2018,Prasco Park  Mason Ohio
BIG EAST TOURNAMENT ,2016,Leidos Field at Ripken Stadium  Aberdeen Maryland
BIG SOUTH CHAMPIONSHIP,2019,Fayetteville Ballpark  Fayetteville North Carolina
Big South Championship,2021,SEGRA Stadium  Fayetteville
Big South Championship,2022,Truist Point  High Point North Carolina
BIG SOUTH CHAMPIONSHIP ,2018,Liberty Baseball Stadium  Lynchburg Virginia
BIG SOUTH TOURNAMENT,2019,Fayetteville Ballpark  Fayetteville North Carolina
Big South Tournament,2022,Truist Point  High Point North Carolina
Big South Tournament,2021,SEGRA Stadium  Fayetteville
BIG SOUTH TOURNAMENT,2018,Liberty Baseball Stadium  Lynchburg Virginia
BIG SOUTH TOURNAMENT ,2018,Liberty Baseball Stadium  Lynchburg Virginia
BIG SOUTH TOURNAMENT ,2017,Lexington County Baseball Stadium  Lexington South Carolina
BIG TEN CHAMPIONSHIP,2019,t TD Ameritrade Park Omaha  Omaha Nebraska
Big Ten Championship,2022,Charles Schwab Field Omaha  Omaha Nebraska
BIG TEN CHAMPIONSHIP ,2016,t TD Ameritrade Park Omaha  Omaha Nebraska
BIG TEN CHAMPIONSHIP ,2017,Bart Kaufman Field    of Indiana University  Bloomington Indiana
BIG TEN CHAMPIONSHIP ,2018,t TD Ameritrade Park Omaha  Omaha Nebraska
BIG TEN TOURNAMENT,2019,t TD Ameritrade Park Omaha  Omaha Nebraska
Big Ten Tournament,2022,Charles Schwab Field Omaha  Omaha Nebraska
BIG TEN TOURNAMENT ,2017,Bart Kaufman Field    of Indiana University  Bloomington Indiana
BIG TEN TOURNAMENT ,2018,t TD Ameritrade Park Omaha  Omaha Nebraska
BULLDOG INVITATIONAL ,2016,
CAA CHAMPIONSHIP,2019,Eagle Field at Veterans Memorial Park  Harrisonburg Virginia
CAA Championship,2021,t Brooks Field  Wilmington North Carolina
CAA Championship,2022,Walter C Latham Park  Elon North Carolina
CAA CHAMPIONSHIP ,2017,t Brooks Field  Wilmington North Carolina
CAA TOURNAMENT,2019,Eagle Field at Veterans Memorial Park  Harrisonburg Virginia
CAA Tournament,2021,t Brooks Field  Wilmington North Carolina
CAA Tournament,2022,Walter C Latham Park  Elon North Carolina
CAA TOURNAMENT ,2017,t Brooks Field  Wilmington North Carolina
CAA TOURNAMENT ,2018,Eagle Field at Veterans Memorial Park  Harrisonburg Virginia
CAA TOURNAMENT ,2016,CofC Baseball Stadium at Patriot s Point  Mount Pleasant South Carolina
Cambria College Classic,2022,U S Bank Stadium
Campbell vs Liberty,2022,
Canisius vs Liberty,2022,
Caravelle Resort Tournament ,2016,Springs Brooks Stadium Vrooman Field
CARAVELLE RESORT TOURNAMENT ,2017,Springs Brooks Stadium Vrooman Field
Central Connecticut vs Kansas State,2022,
CHARLESTON CRAB HOUSE SHOOTOUT ,2017,
Coastal Carolina Tournament,2019,Springs Brooks Stadium Vrooman Field
Coastal Carolina Tournament,2021,Springs Brooks Stadium Vrooman Field
Coastal Carolina Tournament ,2016,Springs Brooks Stadium Vrooman Field
Coastal Carolina vs Texas State,2022,
Coastal Carolina vs West Virginia,2021,
Columbia vs Baylor,2022,
CONFERENCE USA CHAMPIONSHIP,2019,MGM Park  Biloxi Mississippi
Conference USA Championship,2021,J C Love Field at Pat Patterson Park  Ruston Louisiana
Conference USA Championship,2022,t Pete Taylor Park  Hattiesburg Mississippi
CONFERENCE USA CHAMPIONSHIP ,2016,Pete Taylor Park  Hattiesburg Mississippi
CONFERENCE USA TOURNAMENT,2019,MGM Park  Biloxi Mississippi
Conference USA Tournament,2021,J C Love Field at Pat Patterson Park  Ruston Louisiana
Conference USA Tournament,2022,t Pete Taylor Park  Hattiesburg Mississippi
CONFERENCE USA TOURNAMENT ,2018,MGM Park  Biloxi Mississippi
CONFERENCE USA TOURNAMENT ,2017,MGM Park  Biloxi Mississippi
CONFERENCE USA TOURNAMENT ,2016,Pete Taylor Park  Hattiesburg Mississippi
COX DIAMOND INVITATIONAL ,2016,
Creighton vs Kansas,2021,
CSU Fullerton vs UC Irvine,2021,
East Carolina vs Campbell,2022,
East Carolina vs Cincinnati,2021,
East Carolina vs Georgia Southern,2021,
Evansville vs Tulane,2022,
First Pitch Invitational,2022,Fluor Field Greenville NC
FRISCO CLASSIC,2019,Dr Pepper Ballpark  Frisco Texas
Frisco College Baseball Classic,2022,Dr Pepper Ballpark  Frisco Texas
Frisco College Baseball Classic,2021,Dr Pepper Ballpark  Frisco Texas
Game will restart in the top of the 9th at 1230pm ,2021,
Gonzaga vs TCU,2021,
Grand Canyon Classic ,2016,
HORIZON LEAGUE CHAMPIONSHIP,2019,Nischwitz Stadium  Fairborn Ohio
Horizon League Championship,2021,Nischwitz Stadium  Fairborn Ohio
Horizon League Championship,2022,Nischwitz Stadium  Fairborn Ohio
HORIZON LEAGUE CHAMPIONSHIP ,2017,t Les Miller Field at Curtis Granderson Stadium  Chicago
HORIZON LEAGUE CHAMPIONSHIP ,2018,Nischwitz Stadium  Fairborn Ohio
HORIZON LEAGUE TOURNAMENT,2019,Nischwitz Stadium  Fairborn Ohio
Horizon League Tournament,2022,Nischwitz Stadium  Fairborn Ohio
Horizon League Tournament,2021,Nischwitz Stadium  Fairborn Ohio
HORIZON LEAGUE TOURNAMENT ,2017,t Les Miller Field at Curtis Granderson Stadium  Chicago
HORIZON LEAGUE TOURNAMENT ,2018,Nischwitz Stadium  Fairborn Ohio
Houston Baptist vs Baylor,2022,
Houston Baptist vs Sacramento State,2022,
Illinois State vs East Carolina,2021,
Indiana vs Michigan,2021,
Indiana vs Missouri State,2022,
Indiana vs Troy,2022,
Iowa vs UC Irvine,2022,
IVY LEAGUE CHAMPIONSHIP SERIES,2018,
Ivy League Championship Series,2022,
IVY LEAGUE CHAMPIONSHIP SERIES ,2016,
IVY LEAGUE CHAMPIONSHIP SERIES ,2017,
IVY LEAGUE CHAMPIONSHIP SERIES ,2018,
IVY LEAGUE CHAMPIONSHIP SERIES - GAME 1,2019,
IVY LEAGUE CHAMPIONSHIP SERIES - GAME 2,2019,
Jerry Bryson Classic,2022,
Kansas State vs Baylor,2021,
Kansas State vs CSU Bakersfield,2022,
Kansas State vs Kansas,2021,
Kansas State vs Oklahoma State,2021,
Kansas vs Charleston Southern,2022,
Keith LeClair Classic,2022,Lewis Field at Clark LeClair Stadium
