date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,campus_site,year,team,latitude,longitude,elevation,place,n_venue
2016-02-19,Oklahoma State,UT Arlington,Texas Arlington Tournament ,2.0,7.0,1.0,3.0,7.0,1.0,unknown,2016,UT Arlington,,,,,
2016-02-19,Seton Hall,Missouri, AT FORT MYERS FL,0.0,4.0,1.0,7.0,12.0,0.0,unknown,2016,Missouri,26.6342544,-81.8678588,,City of Palms Park,City of Palms Park
2016-02-19,Seton Hall,Missouri, AT FORT MYERS FL,0.0,4.0,1.0,7.0,12.0,0.0,unknown,2016,Missouri,26.5512581,-81.7618295,,JetBlue Park,JetBlue Park
2016-02-19,Seton Hall,Missouri, AT FORT MYERS FL,0.0,4.0,1.0,7.0,12.0,0.0,unknown,2016,Missouri,26.5376684,-81.8422472,,Hammond Stadium,Hammond Stadium
2016-02-19,SIU Edwardsville,Louisville,,4.0,8.0,2.0,21.0,17.0,1.0,Louisville,2016,Louisville,38.2055156,-85.7628651,140.2866211,,
2016-02-19,Central Michigan,Arkansas,,1.0,2.0,3.0,6.0,8.0,0.0,Arkansas,2016,Arkansas,36.0498883,-94.1822406,374.505188,,
2016-02-19,Missouri State,Central Arkansas,,12.0,11.0,0.0,1.0,5.0,3.0,Central Arkansas,2016,Central Arkansas,35.0832533,-92.459899,96.2361145,,
2016-02-19,California,Duke,,5.0,10.0,2.0,2.0,6.0,0.0,Duke,2016,Duke,35.9980856,-78.9442361,125.2663422,,
2016-02-19,San Diego,Vanderbilt,,4.0,8.0,1.0,8.0,10.0,1.0,Vanderbilt,2016,Vanderbilt,36.1433984,-86.8073934,161.9081268,,
2016-02-19,Georgia Southern,Georgia,,1.0,4.0,0.0,4.0,7.0,1.0,Georgia,2016,Georgia,33.9408739,-83.3797097,209.9534607,,
2016-02-19,Memphis,Tennessee,,4.0,9.0,3.0,8.0,8.0,1.0,Tennessee,2016,Tennessee,35.949736,-83.92927,275.5996094,,
2016-02-19,UNLV,Texas,,4.0,8.0,2.0,3.0,8.0,2.0,Texas,2016,Texas,30.2799584,-97.7261606,176.8224335,,
