index,weather_data
2902,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
1386,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
11363,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
7995,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
1006,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
9386,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
1887,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
6155,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
141,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
5026,"{'lat': 31.7982637, 'lon': -85.952973, 'tz': '-05:00', 'date': '2017-04-04', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 45.0}, 'precipitation': {'total': 0.5}, 'temperature': {'min': 61.56, 'max': 82.11, 'afternoon': 77.32, 'night': 65.05, 'evening': 80.49, 'morning': 62.37}, 'pressure': {'afternoon': 1013.0}, 'wind': {'max': {'speed': 8.77, 'direction': 168.0}}}"
